구별,발생 합계,검거 합계,살인 발생,살인 검거,강도 발생,강도 검거,강간강제추행 발생,강간강제추행 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,검거율
강남 총계,40850,27416,48,44,131,123,2684,2184,17466,7461,20521,17604,0.671138311
강동 총계,23278,15763,21,21,47,48,806,716,9705,4232,12699,10746,0.677162987
강북 총계,19346,14809,36,33,54,39,955,725,6276,3103,12025,10909,0.765481236
강서 총계,26088,18908,46,44,42,41,1336,1108,10001,5159,14663,12556,0.724777676
관악 총계,29355,19145,39,39,66,64,1734,1351,11829,4725,15687,12966,0.652188724
광진 총계,26060,16628,29,27,56,63,1258,1045,12818,5477,11899,10016,0.638066002
구로 총계,26106,16977,35,34,56,49,1384,893,10064,3985,14567,12016,0.650310274
금천 총계,17826,13125,27,28,34,30,928,795,6692,3357,10145,8915,0.736284079
노원 총계,23201,15361,29,28,35,35,903,727,9414,3686,12820,10885,0.662083531
도봉 총계,12474,9144,14,15,33,36,614,618,4693,2296,7120,6179,0.733044733
동대문 총계,21525,15952,35,33,44,42,814,677,8724,4508,11908,10692,0.741091754
동작 총계,17600,11201,19,17,39,35,1497,735,7255,2943,8790,7471,0.636420455
마포 총계,27917,17572,25,25,54,41,1931,1610,11950,4214,13957,11682,0.62943726
서대문 총계,17803,12036,20,20,18,20,922,791,7490,3459,9353,7746,0.676065832
서초 총계,25425,16414,33,35,54,40,2046,1302,11250,4653,12042,10384,0.645585054
성동 총계,15190,10381,12,13,25,30,629,508,6727,3052,7797,6778,0.683410138
성북 총계,18980,13185,31,26,38,42,825,643,7893,3739,10193,8735,0.694678609
송파 총계,32255,20076,40,38,44,43,1306,1053,14607,5122,16258,13820,0.622415129
양천 총계,20679,13381,18,20,31,36,638,542,8641,3459,11351,9324,0.64708158
영등포 총계,32001,20359,73,68,64,50,1747,1125,12981,4982,17136,14134,0.636198869
용산 총계,19227,13137,12,13,38,37,1316,1130,7048,2856,10813,9101,0.683257919
은평 총계,22150,15915,28,26,47,39,928,823,8597,4149,12550,10878,0.718510158
종로 총계,21932,21688,28,36,48,64,1164,5705,9523,5320,11169,10563,0.988874704
중구 총계,22983,14728,15,12,50,46,1063,684,10975,4381,10880,9605,0.640821477
중랑 총계,24446,17213,41,39,45,41,860,705,9275,4393,14225,12035,0.704123374
